"Pais","Eficiencia","CalidadReg","ControlCorr","Participacion"
"Afghanistan",-1.46387493610382,-1.12055540084839,-1.40107560157776,0.4643
"Albania",-0.0613308995962143,0.274379819631577,-0.528757572174072,0.8452
"Algeria",-0.516174554824829,-1.3033789396286,-0.621849775314331,0.1548
"Andorra",1.90874850749969,1.22817647457123,1.23439192771912,0.5119
"Angola",-1.11714375019073,-0.893871366977692,-1.05468332767487,0.4524
"Antigua and Barbuda",-0.00386970373801887,0.485374689102173,0.277898192405701,0.4881
"Argentina",-0.0864858850836754,-0.492752581834793,-0.0710713565349579,0.8571
"Armenia",-0.0668173730373383,0.249515324831009,-0.184168338775635,0.75
"Australia",1.57189607620239,1.87353944778442,1.81110715866089,0.9643
"Austria",1.49091148376465,1.45911550521851,1.54542887210846,0.9762
"Azerbaijan",-0.139176815748215,-0.226641282439232,-0.868407249450684,0.6905
"Bahrain",0.298760980367661,0.485098510980606,-0.0102180214598775,0.7738
"Bangladesh",-0.739230096340179,-0.928954303264618,-0.993809640407562,0.5714
"Barbados",0.631425023078918,0.412301003932953,1.26170921325684,0.5952
"Belarus",-0.18333275616169,-0.543780624866486,-0.0595389828085899,0.75
"Belgium",1.03222703933716,1.29099905490875,1.55196058750153,0.6548
"Belize",-0.676701426506042,-0.544256865978241,-0.196022808551788,0.2976
"Benin",-0.440651714801788,-0.375964671373367,-0.323763877153397,0.5476
"Bhutan",0.313765197992325,-0.326656669378281,1.61791908740997,0.631
"Bolivia",-0.699217975139618,-0.993406176567078,-0.742189347743988,0.5952
"Bosnia and Herzegovina",-0.634277045726776,-0.194002315402031,-0.613145172595978,0.6071
"Botswana",0.429047971963882,0.370096385478973,0.707815587520599,0.369
"Brazil",-0.186737954616547,-0.177793994545937,-0.333998471498489,0.9048
"Brunei Darussalam",1.31830883026123,0.634455323219299,0.801886379718781,0.5476
"Bulgaria",0.339000254869461,0.53167861700058,-0.155190214514732,0.8929
"Burkina Faso",-0.758510887622833,-0.376492023468018,-0.188656166195869,0.5119
"Burundi",-1.32632160186768,-0.949538886547089,-1.45846974849701,0.3333
"Cambodia",-0.579185724258423,-0.56883442401886,-1.30240082740784,0.4167
"Cameroon",-0.812146544456482,-0.827004790306091,-1.20866203308105,0.4167
"Canada",1.73164319992065,1.71609723567963,1.76697361469269,0.9405
"Central African Republic",-1.74720096588135,-1.37281239032745,-1.22843992710114,0.1429
"Chad",-1.568403840065,-1.11924827098846,-1.42056667804718,0.2619
"Chile",1.06042039394379,1.22416913509369,1.08845686912537,0.8571
"China",0.518253147602081,-0.24461442232132,-0.32349681854248,0.9643
"Colombia",0.071223221719265,0.396612107753754,-0.229167059063911,0.869
"Comoros",-1.66919755935669,-1.11925554275513,-1.02034974098206,0.119
"Costa Rica",0.423158675432205,0.498035132884979,0.72237104177475,0.6548
"Croatia",0.409974545240402,0.591005802154541,0.125540927052498,0.8929
"Cuba",-0.172544196248055,-1.4867308139801,0.043240487575531,0.3571
"Cyprus",0.992490410804749,1.01234316825867,0.604877233505249,0.9524
"Czech Republic",0.885638177394867,1.24512839317322,0.506227731704712,0.7262
"Denmark",1.93789863586426,1.56501233577728,2.1073682308197,0.9643
"Djibouti",-0.713342666625977,-0.771701872348785,-0.855659902095795,0.2143
"Dominica",-0.261264562606812,0.101900547742844,0.526295244693756,0.3571
"Dominican Republic",-0.357477992773056,-0.0535923987627029,-0.763216972351074,0.7738
"Ecuador",-0.398584187030792,-0.823618710041046,-0.49641090631485,0.7976
"El Salvador",-0.465440303087234,0.0216384865343571,-0.552564859390259,0.6786
"Equatorial Guinea",-1.34201169013977,-1.52051615715027,-1.7228856086731,0.0714
"Eritrea",-1.757368683815,-2.27491807937622,-1.39476656913757,0
"Estonia",1.1747465133667,1.59112417697906,1.54232931137085,1
"Ethiopia",-0.63457727432251,-0.888970911502838,-0.40646505355835,0.3333
"Fiji",0.204097673296928,-0.217418104410172,0.558556616306305,0.4643
"Finland",1.92931294441223,1.85101509094238,2.15308141708374,0.9524
"France",1.38461089134216,1.4402916431427,1.30096793174744,0.9048
"Gabon",-0.897753238677979,-0.957122266292572,-0.935491442680359,0.2738
"Germany",1.58530879020691,1.72305011749268,1.89547312259674,0.75
"Ghana",-0.210104018449783,-0.111049562692642,-0.0790386348962784,0.631
"Greece",0.405590325593948,0.529878973960876,-0.0118191707879305,0.7857
"Grenada",-0.135928764939308,-0.313191086053848,0.339768201112747,0.3333
"Guatemala",-0.676840841770172,-0.224992647767067,-0.898420393466949,0.5
"Guinea",-0.778745830059052,-0.769820928573608,-0.904965102672577,0.3095
"Guinea-Bissau",-1.51444113254547,-1.2333345413208,-1.45398604869843,0.0833
"Guyana",-0.386060476303101,-0.620616257190704,-0.0918997079133987,0.4524
"Haiti",-2.01538848876953,-1.26067221164703,-1.33918261528015,0.2262
"Honduras",-0.611763119697571,-0.492732316255569,-0.808453261852264,0.4881
"Hungary",0.495365083217621,0.603486657142639,-0.00103515374939889,0.6786
"Iceland",1.51827776432037,1.37298440933228,1.70797348022461,0.7738
"India",0.171554371714592,-0.160555705428123,-0.233253955841064,0.8571
"Indonesia",0.182740747928619,-0.0933143347501755,-0.418996125459671,0.75
"Iraq",-1.33627045154572,-1.17996847629547,-1.33665406703949,0.3095
"Ireland",1.28137493133545,1.6019104719162,1.45809876918793,0.8571
"Israel",1.32565200328827,1.28099524974823,0.805954396724701,0.7143
"Italy",0.461936086416245,0.954963088035583,0.23984207212925,0.8214
"Jamaica",0.495820760726929,0.167548999190331,-0.0565555803477764,0.369
"Japan",1.58666384220123,1.32695746421814,1.47533226013184,0.9881
"Jordan",0.0994702652096748,0.0346093736588955,0.127979531884193,0.3333
"Kazakhstan",0.124712504446507,0.13722650706768,-0.319982260465622,0.881
"Kenya",-0.383268862962723,-0.277037471532822,-0.777246236801147,0.5952
"Kiribati",-0.235535517334938,-0.621797680854797,0.371044307947159,0.5595
"Kuwait",0.018467279151082,0.0649238973855972,-0.132789015769958,0.9048
"Latvia",1.10502827167511,1.19268560409546,0.484939754009247,0.5833
"Lebanon",-0.832802474498749,-0.42559215426445,-1.16021323204041,0.3333
"Lesotho",-0.832261681556702,-0.535603582859039,-0.0273043066263199,0.3452
"Liberia",-1.37513327598572,-0.978944778442383,-0.87758070230484,0.2381
"Libya",-1.92214334011078,-2.34694743156433,-1.60363662242889,0.0357
"Liechtenstein",1.69676637649536,1.54081356525421,1.96831119060516,0.6071
"Lithuania",1.04338085651398,1.15736365318298,0.675985991954803,0.7381
"Luxembourg",1.73364567756653,1.69988226890564,2.11219620704651,0.7024
"Madagascar",-1.14245367050171,-0.73004561662674,-1.00936961174011,0.2976
"Malawi",-0.749436676502228,-0.701195478439331,-0.781152665615082,0.4167
"Malaysia",0.998685657978058,0.673140823841095,0.247522801160812,0.8571
"Maldives",-0.194218277931213,-0.479614675045013,-0.262507438659668,0.4405
"Mali",-1.05644416809082,-0.573185980319977,-0.696643471717834,0.3214
"Malta",0.858419954776764,0.955645382404327,0.239386558532715,0.8333
"Marshall Islands",-1.47059810161591,-1.11679351329803,-0.0434162765741348,0.4286
"Mauritania",-0.498212456703186,-0.759339690208435,-0.861584544181824,0.0952
"Mauritius",0.871139883995056,0.996520400047302,0.317111998796463,0.6429
"Mexico",-0.157008394598961,0.103679791092873,-0.821080088615417,0.8214
"Mongolia",-0.194830313324928,-0.0112419845536351,-0.441760748624802,0.6071
"Montenegro",0.156257584691048,0.365231484174728,-0.0301262550055981,0.5476
"Morocco",-0.119225241243839,-0.211528360843658,-0.27653631567955,0.5119
"Mozambique",-0.823289573192596,-0.724764347076416,-0.801014542579651,0.5238
"Myanmar",-1.1498692035675,-0.760392844676971,-0.625195503234863,0.2619
"Namibia",0.0966494902968407,-0.108908258378506,0.372481107711792,0.5
"Nauru",-0.129480436444283,-0.0331936329603195,-0.449302703142166,0.2024
"Nepal",-1.04519999027252,-0.701375126838684,-0.674093842506409,0.369
"Netherlands",1.79800796508789,1.86107873916626,1.99975752830505,0.9643
"New Zealand",1.67090368270874,1.88090658187866,2.17007064819336,0.9881
"Nicaragua",-0.770874381065369,-0.689058125019073,-1.12184369564056,0.5238
"Niger",-0.801061689853668,-0.668704450130463,-0.554166257381439,0.2976
"Nigeria",-1.08863353729248,-0.860985159873962,-1.0949479341507,0.4881
"North Macedonia",-0.0024857537355274,0.508784472942352,-0.409463703632355,0.8333
"Norway",1.86229157447815,1.80405461788177,2.07346820831299,0.9048
"Oman",0.259309321641922,0.29245713353157,0.452128916978836,0.8333
"Pakistan",-0.67700469493866,-0.644478917121887,-0.846740663051605,0.5238
"Palau",-0.0454221442341805,-0.00754099944606423,-0.449302703142166,0.3214
"Panama",0.065540187060833,0.361896961927414,-0.579923987388611,0.5833
"Papua New Guinea",-0.808679044246674,-0.542546391487122,-0.99163818359375,0.2143
"Paraguay",-0.533756673336029,-0.20345801115036,-0.829310238361359,0.75
"Peru",-0.067545659840107,0.563906133174896,-0.447690784931183,0.7619
"Philippines",0.0529681704938412,0.00930815935134888,-0.573345541954041,0.75
"Poland",0.601629197597504,1.0141236782074,0.602715015411377,0.9643
"Portugal",1.15400540828705,0.969747006893158,0.763995349407196,0.8214
"Qatar",0.705206751823425,0.679329931735992,0.848995923995972,0.6548
"Romania",-0.281243801116943,0.462053596973419,-0.128240466117859,0.8095
"Russian Federation",0.150364875793457,-0.431622445583344,-0.831873178482056,0.869
"Rwanda",0.185022681951523,0.0773843005299568,0.564346015453339,0.631
"Samoa",0.436413019895554,-0.223842039704323,0.640635550022125,0.25
"Saudi Arabia",0.306444883346558,-0.0681948512792587,0.274639338254929,0.7143
"Senegal",-0.0573693849146366,-0.112239763140678,0.0484844334423542,0.4405
"Serbia",0.0190787352621555,0.113867104053497,-0.445551484823227,0.8214
"Seychelles",0.517941355705261,-0.153052672743797,0.969212651252747,0.5714
"Sierra Leone",-1.12659513950348,-0.881993651390076,-0.411361068487167,0.3929
"Singapore",2.22108602523804,2.16137671470642,2.15947651863098,0.9762
"Slovenia",1.08140444755554,1.00883948802948,0.905898690223694,0.8571
"Solomon Islands",-0.997201561927795,-0.832248568534851,-0.00740398932248354,0.3214
"Somalia",-2.23714900016785,-2.20313215255737,-1.7099632024765,0.3571
"South Africa",0.367380231618881,0.156171724200249,0.0849238559603691,0.75
"South Sudan",-2.4515552520752,-2.04896473884583,-1.77372419834137,0.0238
"Spain",0.99904465675354,1.05018973350525,0.646796107292175,0.8452
"Sri Lanka",-0.113549873232841,-0.184370413422585,-0.319470077753067,0.7143
"Sudan",-1.62190473079681,-1.67383432388306,-1.36698496341705,0.2143
"Suriname",-0.590061366558075,-0.679551422595978,-0.393237322568893,0.25
"Sweden",1.82990062236786,1.80167484283447,2.11847805976868,0.8214
"Switzerland",1.95212006568909,1.66447913646698,1.977294921875,0.9048
"Syrian Arab Republic",-1.71127927303314,-1.75790345668793,-1.68855273723602,0.5119
"Tajikistan",-1.04900538921356,-1.01106548309326,-1.32117259502411,0.3452
"Thailand",0.357056349515915,0.11610496789217,-0.407398492097855,0.7738
"Timor-Leste",-0.884692370891571,-0.784346997737885,-0.382982701063156,0.4881
"Togo",-0.917334675788879,-0.678981721401215,-0.749716758728027,0.5119
"Tonga",0.162724331021309,-0.326639235019684,-0.345680236816406,0.369
"Trinidad and Tobago",0.100151464343071,-0.1509860008955,-0.191355749964714,0.619
"Tunisia",-0.102273888885975,-0.437205225229263,-0.077050469815731,0.6905
"Turkey",0.0483859702944756,-0.00731689296662807,-0.290970057249069,0.8929
"Turkmenistan",-1.1562397480011,-1.95760202407837,-1.51190543174744,0.2024
"Tuvalu",-0.646632134914398,-0.555474102497101,0.409078538417816,0.3571
"Uganda",-0.585200130939484,-0.37422439455986,-1.16562569141388,0.5714
"Ukraine",-0.296582520008087,-0.258670091629028,-0.709597170352936,0.8095
"United Arab Emirates",1.37722086906433,0.979325234889984,1.10634207725525,0.9405
"Uruguay",0.695738792419434,0.509408414363861,1.24651086330414,0.8571
"Uzbekistan",-0.514649033546448,-0.993292510509491,-1.053790807724,0.8095
"Vanuatu",-0.546475112438202,-0.460043579339981,-0.258875042200089,0.3929
"Zambia",-0.675214529037476,-0.554269134998322,-0.640345096588135,0.3095
"Zimbabwe",-1.20533716678619,-1.46319949626923,-1.23879551887512,0.4524
